20:44:58.791 INFO     Starting ED Autopilot V1.7.0 beta 1.
20:45:02.256 DEBUG    Journal*.log: read: 46 ship: {'time': 272, 'odyssey': True, 'status': 'in_station', 'type': 'panthermkii', 'location': 'Ba Po', 'star_class': None, 'target': 'Alrai Sector DL-Y d81', 'fighter_destroyed': False, 'shieldsup': True, 'under_attack': None, 'interdicted': False, 'no_dock_reason': 'Distance', 'mission_completed': 0, 'mission_redirected': 0, 'body': None, 'dist_jumped': 0, 'jumps_remains': 2, 'fuel_capacity': 128.0, 'fuel_level': 119.771027, 'fuel_percent': 94, 'is_scooping': False, 'cur_star_system': 'Ba Po', 'cur_station': 'Mullane Mines', 'cur_station_type': 'Coriolis', 'cargo_capacity': 1232, 'ship_size': 'L', 'has_fuel_scoop': False, 'SupercruiseDestinationDrop_type': None, 'has_adv_dock_comp': True, 'has_std_dock_comp': False, 'has_sco_fsd': True, 'StationServices': ['dock', 'autodock', 'blackmarket', 'commodities', 'contacts', 'exploration', 'missions', 'outfitting', 'crewlounge', 'rearm', 'refuel', 'repair', 'shipyard', 'tuning', 'engineer', 'missionsgenerated', 'flightcontroller', 'stationoperations', 'powerplay', 'searchrescue', 'materialtrader', 'stationMenu', 'shop', 'livery', 'socialspace', 'bartender', 'vistagenomics', 'pioneersupplies', 'apexinterstellar', 'frontlinesolutions', 'registeringcolonisation']}
20:45:02.256 DEBUG    Journal*.log: read: 48 ship: {'time': 272, 'odyssey': True, 'status': 'starting_undocking', 'type': 'panthermkii', 'location': 'Ba Po', 'star_class': None, 'target': 'Alrai Sector DL-Y d81', 'fighter_destroyed': False, 'shieldsup': True, 'under_attack': None, 'interdicted': False, 'no_dock_reason': 'Distance', 'mission_completed': 0, 'mission_redirected': 0, 'body': None, 'dist_jumped': 0, 'jumps_remains': 2, 'fuel_capacity': 128.0, 'fuel_level': 119.771027, 'fuel_percent': 94, 'is_scooping': False, 'cur_star_system': 'Ba Po', 'cur_station': 'Mullane Mines', 'cur_station_type': 'Coriolis', 'cargo_capacity': 1232, 'ship_size': 'L', 'has_fuel_scoop': False, 'SupercruiseDestinationDrop_type': None, 'has_adv_dock_comp': True, 'has_std_dock_comp': False, 'has_sco_fsd': True, 'StationServices': ['dock', 'autodock', 'blackmarket', 'commodities', 'contacts', 'exploration', 'missions', 'outfitting', 'crewlounge', 'rearm', 'refuel', 'repair', 'shipyard', 'tuning', 'engineer', 'missionsgenerated', 'flightcontroller', 'stationoperations', 'powerplay', 'searchrescue', 'materialtrader', 'stationMenu', 'shop', 'livery', 'socialspace', 'bartender', 'vistagenomics', 'pioneersupplies', 'apexinterstellar', 'frontlinesolutions', 'registeringcolonisation']}
20:45:02.256 DEBUG    Journal*.log: read: 49 ship: {'time': 272, 'odyssey': True, 'status': 'in_undocking', 'type': 'panthermkii', 'location': 'Ba Po', 'star_class': None, 'target': 'Alrai Sector DL-Y d81', 'fighter_destroyed': False, 'shieldsup': True, 'under_attack': None, 'interdicted': False, 'no_dock_reason': 'Distance', 'mission_completed': 0, 'mission_redirected': 0, 'body': None, 'dist_jumped': 0, 'jumps_remains': 2, 'fuel_capacity': 128.0, 'fuel_level': 119.771027, 'fuel_percent': 94, 'is_scooping': False, 'cur_star_system': 'Ba Po', 'cur_station': 'Mullane Mines', 'cur_station_type': 'Coriolis', 'cargo_capacity': 1232, 'ship_size': 'L', 'has_fuel_scoop': False, 'SupercruiseDestinationDrop_type': None, 'has_adv_dock_comp': True, 'has_std_dock_comp': False, 'has_sco_fsd': True, 'StationServices': ['dock', 'autodock', 'blackmarket', 'commodities', 'contacts', 'exploration', 'missions', 'outfitting', 'crewlounge', 'rearm', 'refuel', 'repair', 'shipyard', 'tuning', 'engineer', 'missionsgenerated', 'flightcontroller', 'stationoperations', 'powerplay', 'searchrescue', 'materialtrader', 'stationMenu', 'shop', 'livery', 'socialspace', 'bartender', 'vistagenomics', 'pioneersupplies', 'apexinterstellar', 'frontlinesolutions', 'registeringcolonisation']}
20:45:02.256 DEBUG    Journal*.log: read: 50 ship: {'time': 272, 'odyssey': True, 'status': 'in_space', 'type': 'panthermkii', 'location': 'Ba Po', 'star_class': None, 'target': 'Alrai Sector DL-Y d81', 'fighter_destroyed': False, 'shieldsup': True, 'under_attack': None, 'interdicted': False, 'no_dock_reason': 'Distance', 'mission_completed': 0, 'mission_redirected': 0, 'body': None, 'dist_jumped': 0, 'jumps_remains': 2, 'fuel_capacity': 128.0, 'fuel_level': 119.771027, 'fuel_percent': 94, 'is_scooping': False, 'cur_star_system': 'Ba Po', 'cur_station': 'Mullane Mines', 'cur_station_type': 'Coriolis', 'cargo_capacity': 1232, 'ship_size': 'L', 'has_fuel_scoop': False, 'SupercruiseDestinationDrop_type': None, 'has_adv_dock_comp': True, 'has_std_dock_comp': False, 'has_sco_fsd': True, 'StationServices': ['dock', 'autodock', 'blackmarket', 'commodities', 'contacts', 'exploration', 'missions', 'outfitting', 'crewlounge', 'rearm', 'refuel', 'repair', 'shipyard', 'tuning', 'engineer', 'missionsgenerated', 'flightcontroller', 'stationoperations', 'powerplay', 'searchrescue', 'materialtrader', 'stationMenu', 'shop', 'livery', 'socialspace', 'bartender', 'vistagenomics', 'pioneersupplies', 'apexinterstellar', 'frontlinesolutions', 'registeringcolonisation']}
20:45:02.256 DEBUG    Journal*.log: read: 51 ship: {'time': 272, 'odyssey': True, 'status': 'starting_supercruise', 'type': 'panthermkii', 'location': 'Ba Po', 'star_class': None, 'target': 'Alrai Sector DL-Y d81', 'fighter_destroyed': False, 'shieldsup': True, 'under_attack': None, 'interdicted': False, 'no_dock_reason': 'Distance', 'mission_completed': 0, 'mission_redirected': 0, 'body': None, 'dist_jumped': 0, 'jumps_remains': 2, 'fuel_capacity': 128.0, 'fuel_level': 119.771027, 'fuel_percent': 94, 'is_scooping': False, 'cur_star_system': 'Ba Po', 'cur_station': 'Mullane Mines', 'cur_station_type': 'Coriolis', 'cargo_capacity': 1232, 'ship_size': 'L', 'has_fuel_scoop': False, 'SupercruiseDestinationDrop_type': None, 'has_adv_dock_comp': True, 'has_std_dock_comp': False, 'has_sco_fsd': True, 'StationServices': ['dock', 'autodock', 'blackmarket', 'commodities', 'contacts', 'exploration', 'missions', 'outfitting', 'crewlounge', 'rearm', 'refuel', 'repair', 'shipyard', 'tuning', 'engineer', 'missionsgenerated', 'flightcontroller', 'stationoperations', 'powerplay', 'searchrescue', 'materialtrader', 'stationMenu', 'shop', 'livery', 'socialspace', 'bartender', 'vistagenomics', 'pioneersupplies', 'apexinterstellar', 'frontlinesolutions', 'registeringcolonisation']}
20:45:02.256 DEBUG    Journal*.log: read: 61 ship: {'time': 272, 'odyssey': True, 'status': 'in_supercruise', 'type': 'panthermkii', 'location': 'Ba Po', 'star_class': None, 'target': 'Alrai Sector DL-Y d81', 'fighter_destroyed': False, 'shieldsup': True, 'under_attack': None, 'interdicted': False, 'no_dock_reason': 'Distance', 'mission_completed': 0, 'mission_redirected': 0, 'body': None, 'dist_jumped': 0, 'jumps_remains': 2, 'fuel_capacity': 128.0, 'fuel_level': 119.771027, 'fuel_percent': 94, 'is_scooping': False, 'cur_star_system': 'Ba Po', 'cur_station': 'Mullane Mines', 'cur_station_type': 'Coriolis', 'cargo_capacity': 1232, 'ship_size': 'L', 'has_fuel_scoop': False, 'SupercruiseDestinationDrop_type': None, 'has_adv_dock_comp': True, 'has_std_dock_comp': False, 'has_sco_fsd': True, 'StationServices': ['dock', 'autodock', 'blackmarket', 'commodities', 'contacts', 'exploration', 'missions', 'outfitting', 'crewlounge', 'rearm', 'refuel', 'repair', 'shipyard', 'tuning', 'engineer', 'missionsgenerated', 'flightcontroller', 'stationoperations', 'powerplay', 'searchrescue', 'materialtrader', 'stationMenu', 'shop', 'livery', 'socialspace', 'bartender', 'vistagenomics', 'pioneersupplies', 'apexinterstellar', 'frontlinesolutions', 'registeringcolonisation']}
20:45:02.256 DEBUG    Journal*.log: read: 66 ship: {'time': 272, 'odyssey': True, 'status': 'starting_hyperspace', 'type': 'panthermkii', 'location': 'Ba Po', 'star_class': 'F', 'target': 'Alrai Sector DL-Y d81', 'fighter_destroyed': False, 'shieldsup': True, 'under_attack': None, 'interdicted': False, 'no_dock_reason': 'Distance', 'mission_completed': 0, 'mission_redirected': 0, 'body': None, 'dist_jumped': 0, 'jumps_remains': 2, 'fuel_capacity': 128.0, 'fuel_level': 119.771027, 'fuel_percent': 94, 'is_scooping': False, 'cur_star_system': 'Ba Po', 'cur_station': 'Mullane Mines', 'cur_station_type': 'Coriolis', 'cargo_capacity': 1232, 'ship_size': 'L', 'has_fuel_scoop': False, 'SupercruiseDestinationDrop_type': None, 'has_adv_dock_comp': True, 'has_std_dock_comp': False, 'has_sco_fsd': True, 'StationServices': ['dock', 'autodock', 'blackmarket', 'commodities', 'contacts', 'exploration', 'missions', 'outfitting', 'crewlounge', 'rearm', 'refuel', 'repair', 'shipyard', 'tuning', 'engineer', 'missionsgenerated', 'flightcontroller', 'stationoperations', 'powerplay', 'searchrescue', 'materialtrader', 'stationMenu', 'shop', 'livery', 'socialspace', 'bartender', 'vistagenomics', 'pioneersupplies', 'apexinterstellar', 'frontlinesolutions', 'registeringcolonisation']}
20:45:02.256 DEBUG    Journal*.log: read: 69 ship: {'time': 272, 'odyssey': True, 'status': 'starting_hyperspace', 'type': 'panthermkii', 'location': 'Ba Po', 'star_class': 'F', 'target': 'Wally Bei', 'fighter_destroyed': False, 'shieldsup': True, 'under_attack': None, 'interdicted': False, 'no_dock_reason': 'Distance', 'mission_completed': 0, 'mission_redirected': 0, 'body': None, 'dist_jumped': 0, 'jumps_remains': 1, 'fuel_capacity': 128.0, 'fuel_level': 119.771027, 'fuel_percent': 94, 'is_scooping': False, 'cur_star_system': 'Ba Po', 'cur_station': 'Mullane Mines', 'cur_station_type': 'Coriolis', 'cargo_capacity': 1232, 'ship_size': 'L', 'has_fuel_scoop': False, 'SupercruiseDestinationDrop_type': None, 'has_adv_dock_comp': True, 'has_std_dock_comp': False, 'has_sco_fsd': True, 'StationServices': ['dock', 'autodock', 'blackmarket', 'commodities', 'contacts', 'exploration', 'missions', 'outfitting', 'crewlounge', 'rearm', 'refuel', 'repair', 'shipyard', 'tuning', 'engineer', 'missionsgenerated', 'flightcontroller', 'stationoperations', 'powerplay', 'searchrescue', 'materialtrader', 'stationMenu', 'shop', 'livery', 'socialspace', 'bartender', 'vistagenomics', 'pioneersupplies', 'apexinterstellar', 'frontlinesolutions', 'registeringcolonisation']}
20:45:02.256 DEBUG    Journal*.log: read: 71 ship: {'time': 272, 'odyssey': True, 'status': 'in_supercruise', 'type': 'panthermkii', 'location': 'Alrai Sector DL-Y d81', 'star_class': 'F', 'target': 'Wally Bei', 'fighter_destroyed': False, 'shieldsup': True, 'under_attack': None, 'interdicted': False, 'no_dock_reason': 'Distance', 'mission_completed': 0, 'mission_redirected': 0, 'body': None, 'dist_jumped': 10.665, 'jumps_remains': 1, 'fuel_capacity': 128.0, 'fuel_level': 116.469635, 'fuel_percent': 91, 'is_scooping': False, 'cur_star_system': 'Alrai Sector DL-Y d81', 'cur_station': 'Mullane Mines', 'cur_station_type': 'Coriolis', 'cargo_capacity': 1232, 'ship_size': 'L', 'has_fuel_scoop': False, 'SupercruiseDestinationDrop_type': None, 'has_adv_dock_comp': True, 'has_std_dock_comp': False, 'has_sco_fsd': True, 'StationServices': ['dock', 'autodock', 'blackmarket', 'commodities', 'contacts', 'exploration', 'missions', 'outfitting', 'crewlounge', 'rearm', 'refuel', 'repair', 'shipyard', 'tuning', 'engineer', 'missionsgenerated', 'flightcontroller', 'stationoperations', 'powerplay', 'searchrescue', 'materialtrader', 'stationMenu', 'shop', 'livery', 'socialspace', 'bartender', 'vistagenomics', 'pioneersupplies', 'apexinterstellar', 'frontlinesolutions', 'registeringcolonisation']}
20:45:02.256 DEBUG    Journal*.log: read: 77 ship: {'time': 272, 'odyssey': True, 'status': 'starting_hyperspace', 'type': 'panthermkii', 'location': 'Alrai Sector DL-Y d81', 'star_class': 'K', 'target': 'Wally Bei', 'fighter_destroyed': False, 'shieldsup': True, 'under_attack': None, 'interdicted': False, 'no_dock_reason': 'Distance', 'mission_completed': 0, 'mission_redirected': 0, 'body': None, 'dist_jumped': 10.665, 'jumps_remains': 1, 'fuel_capacity': 128.0, 'fuel_level': 116.469635, 'fuel_percent': 91, 'is_scooping': False, 'cur_star_system': 'Alrai Sector DL-Y d81', 'cur_station': 'Mullane Mines', 'cur_station_type': 'Coriolis', 'cargo_capacity': 1232, 'ship_size': 'L', 'has_fuel_scoop': False, 'SupercruiseDestinationDrop_type': None, 'has_adv_dock_comp': True, 'has_std_dock_comp': False, 'has_sco_fsd': True, 'StationServices': ['dock', 'autodock', 'blackmarket', 'commodities', 'contacts', 'exploration', 'missions', 'outfitting', 'crewlounge', 'rearm', 'refuel', 'repair', 'shipyard', 'tuning', 'engineer', 'missionsgenerated', 'flightcontroller', 'stationoperations', 'powerplay', 'searchrescue', 'materialtrader', 'stationMenu', 'shop', 'livery', 'socialspace', 'bartender', 'vistagenomics', 'pioneersupplies', 'apexinterstellar', 'frontlinesolutions', 'registeringcolonisation']}
20:45:02.256 DEBUG    Journal*.log: read: 80 ship: {'time': 272, 'odyssey': True, 'status': 'starting_hyperspace', 'type': 'panthermkii', 'location': 'Alrai Sector DL-Y d81', 'star_class': 'K', 'target': None, 'fighter_destroyed': False, 'shieldsup': True, 'under_attack': None, 'interdicted': False, 'no_dock_reason': 'Distance', 'mission_completed': 0, 'mission_redirected': 0, 'body': None, 'dist_jumped': 10.665, 'jumps_remains': 0, 'fuel_capacity': 128.0, 'fuel_level': 116.469635, 'fuel_percent': 91, 'is_scooping': False, 'cur_star_system': 'Alrai Sector DL-Y d81', 'cur_station': 'Mullane Mines', 'cur_station_type': 'Coriolis', 'cargo_capacity': 1232, 'ship_size': 'L', 'has_fuel_scoop': False, 'SupercruiseDestinationDrop_type': None, 'has_adv_dock_comp': True, 'has_std_dock_comp': False, 'has_sco_fsd': True, 'StationServices': ['dock', 'autodock', 'blackmarket', 'commodities', 'contacts', 'exploration', 'missions', 'outfitting', 'crewlounge', 'rearm', 'refuel', 'repair', 'shipyard', 'tuning', 'engineer', 'missionsgenerated', 'flightcontroller', 'stationoperations', 'powerplay', 'searchrescue', 'materialtrader', 'stationMenu', 'shop', 'livery', 'socialspace', 'bartender', 'vistagenomics', 'pioneersupplies', 'apexinterstellar', 'frontlinesolutions', 'registeringcolonisation']}
20:45:02.256 DEBUG    Journal*.log: read: 82 ship: {'time': 272, 'odyssey': True, 'status': 'in_supercruise', 'type': 'panthermkii', 'location': 'Wally Bei', 'star_class': 'K', 'target': None, 'fighter_destroyed': False, 'shieldsup': True, 'under_attack': None, 'interdicted': False, 'no_dock_reason': 'Distance', 'mission_completed': 0, 'mission_redirected': 0, 'body': None, 'dist_jumped': 10.633, 'jumps_remains': 0, 'fuel_capacity': 128.0, 'fuel_level': 113.205376, 'fuel_percent': 88, 'is_scooping': False, 'cur_star_system': 'Wally Bei', 'cur_station': 'Mullane Mines', 'cur_station_type': 'Coriolis', 'cargo_capacity': 1232, 'ship_size': 'L', 'has_fuel_scoop': False, 'SupercruiseDestinationDrop_type': None, 'has_adv_dock_comp': True, 'has_std_dock_comp': False, 'has_sco_fsd': True, 'StationServices': ['dock', 'autodock', 'blackmarket', 'commodities', 'contacts', 'exploration', 'missions', 'outfitting', 'crewlounge', 'rearm', 'refuel', 'repair', 'shipyard', 'tuning', 'engineer', 'missionsgenerated', 'flightcontroller', 'stationoperations', 'powerplay', 'searchrescue', 'materialtrader', 'stationMenu', 'shop', 'livery', 'socialspace', 'bartender', 'vistagenomics', 'pioneersupplies', 'apexinterstellar', 'frontlinesolutions', 'registeringcolonisation']}
20:45:02.256 DEBUG    Journal*.log: read: 88 ship: {'time': 272, 'odyssey': True, 'status': 'in_supercruise', 'type': 'panthermkii', 'location': 'Wally Bei', 'star_class': 'K', 'target': None, 'fighter_destroyed': False, 'shieldsup': True, 'under_attack': None, 'interdicted': False, 'no_dock_reason': 'Distance', 'mission_completed': 0, 'mission_redirected': 0, 'body': None, 'dist_jumped': 10.633, 'jumps_remains': 0, 'fuel_capacity': 128.0, 'fuel_level': 113.205376, 'fuel_percent': 88, 'is_scooping': False, 'cur_star_system': 'Wally Bei', 'cur_station': 'Mullane Mines', 'cur_station_type': 'Coriolis', 'cargo_capacity': 1232, 'ship_size': 'L', 'has_fuel_scoop': False, 'SupercruiseDestinationDrop_type': 'Malerba Orbital', 'has_adv_dock_comp': True, 'has_std_dock_comp': False, 'has_sco_fsd': True, 'StationServices': ['dock', 'autodock', 'blackmarket', 'commodities', 'contacts', 'exploration', 'missions', 'outfitting', 'crewlounge', 'rearm', 'refuel', 'repair', 'shipyard', 'tuning', 'engineer', 'missionsgenerated', 'flightcontroller', 'stationoperations', 'powerplay', 'searchrescue', 'materialtrader', 'stationMenu', 'shop', 'livery', 'socialspace', 'bartender', 'vistagenomics', 'pioneersupplies', 'apexinterstellar', 'frontlinesolutions', 'registeringcolonisation']}
20:45:02.257 DEBUG    Journal*.log: read: 227 ship: {'time': 272, 'odyssey': True, 'status': 'in_space', 'type': 'panthermkii', 'location': 'Wally Bei', 'star_class': 'K', 'target': None, 'fighter_destroyed': False, 'shieldsup': True, 'under_attack': None, 'interdicted': False, 'no_dock_reason': 'Distance', 'mission_completed': 0, 'mission_redirected': 0, 'body': 'Malerba Orbital', 'dist_jumped': 10.633, 'jumps_remains': 0, 'fuel_capacity': 128.0, 'fuel_level': 113.205376, 'fuel_percent': 88, 'is_scooping': False, 'cur_star_system': 'Wally Bei', 'cur_station': 'Mullane Mines', 'cur_station_type': 'Coriolis', 'cargo_capacity': 1232, 'ship_size': 'L', 'has_fuel_scoop': False, 'SupercruiseDestinationDrop_type': 'Malerba Orbital', 'has_adv_dock_comp': True, 'has_std_dock_comp': False, 'has_sco_fsd': True, 'StationServices': ['dock', 'autodock', 'blackmarket', 'commodities', 'contacts', 'exploration', 'missions', 'outfitting', 'crewlounge', 'rearm', 'refuel', 'repair', 'shipyard', 'tuning', 'engineer', 'missionsgenerated', 'flightcontroller', 'stationoperations', 'powerplay', 'searchrescue', 'materialtrader', 'stationMenu', 'shop', 'livery', 'socialspace', 'bartender', 'vistagenomics', 'pioneersupplies', 'apexinterstellar', 'frontlinesolutions', 'registeringcolonisation']}
